candidate	step	seed	bimaxwell_val	candidate_val	diff_bimaxwell_minus_candidate
expann_b0p982_b0p944	3080	0	3.28901	3.28780	+0.001210
expann_b0p982_b0p944	3080	1	3.28910	3.28768	+0.001420
expann_b0p982_b0p944	3080	2	3.28966	3.28836	+0.001300
expann_b0p982_b0p944	3080	3	3.29008	3.28883	+0.001250
expann_b0p982_b0p944	3090	0	3.28799	3.28680	+0.001190
expann_b0p982_b0p944	3090	1	3.28801	3.28664	+0.001370
expann_b0p982_b0p944	3090	2	3.28862	3.28725	+0.001370
expann_b0p982_b0p944	3090	3	3.28905	3.28782	+0.001230
expann_b0p982_b0p944	3100	0	3.28672	3.28552	+0.001200
expann_b0p982_b0p944	3100	1	3.28680	3.28548	+0.001320
expann_b0p982_b0p944	3100	2	3.28736	3.28604	+0.001320
expann_b0p982_b0p944	3100	3	3.28795	3.28679	+0.001160
expann_b0p982_b0p944	3110	0	3.28569	3.28457	+0.001120
expann_b0p982_b0p944	3110	1	3.28579	3.28448	+0.001310
expann_b0p982_b0p944	3110	2	3.28638	3.28507	+0.001310
expann_b0p982_b0p944	3110	3	3.28670	3.28574	+0.000960
expann_b0p982_b0p944	3120	0	3.28465	3.28367	+0.000980
expann_b0p982_b0p944	3120	1	3.28475	3.28357	+0.001180
expann_b0p982_b0p944	3120	2	3.28528	3.28414	+0.001140
expann_b0p982_b0p944	3120	3	3.28572	3.28479	+0.000930
expann_b0p982_b0p944	3125	0	3.28403	3.28315	+0.000880
expann_b0p982_b0p944	3125	1	3.28415	3.28304	+0.001110
expann_b0p982_b0p944	3125	2	3.28466	3.28356	+0.001100
expann_b0p982_b0p944	3125	3	3.28511	3.28424	+0.000870
expann_b0p982_b0p944	3130	0	3.28339	3.28247	+0.000920
expann_b0p982_b0p944	3130	1	3.28347	3.28241	+0.001060
expann_b0p982_b0p944	3130	2	3.28408	3.28298	+0.001100
expann_b0p982_b0p944	3130	3	3.28458	3.28368	+0.000900
expann_b0p982_b0p944	3140	0	3.28230	3.28153	+0.000770
expann_b0p982_b0p944	3140	1	3.28240	3.28150	+0.000900
expann_b0p982_b0p944	3140	2	3.28300	3.28203	+0.000970
expann_b0p982_b0p944	3140	3	3.28342	3.28267	+0.000750
expann_b0p982_b0p944	3150	0	3.28132	3.28058	+0.000740
expann_b0p982_b0p944	3150	1	3.28141	3.28049	+0.000920
expann_b0p982_b0p944	3150	2	3.28201	3.28110	+0.000910
expann_b0p982_b0p944	3150	3	3.28244	3.28170	+0.000740
expann_b0p982_b0p944	3160	0	3.28037	3.27974	+0.000630
expann_b0p982_b0p944	3160	1	3.28048	3.27965	+0.000830
expann_b0p982_b0p944	3160	2	3.28100	3.28020	+0.000800
expann_b0p982_b0p944	3160	3	3.28150	3.28088	+0.000620
expann_b0p982_b0p944	3170	0	3.27954	3.27892	+0.000620
expann_b0p982_b0p944	3170	1	3.27966	3.27883	+0.000830
expann_b0p982_b0p944	3170	2	3.28022	3.27943	+0.000790
expann_b0p982_b0p944	3170	3	3.28071	3.28015	+0.000560
expann_b0p982_b0p944	3175	0	3.27907	3.27855	+0.000520
expann_b0p982_b0p944	3175	1	3.27919	3.27841	+0.000780
expann_b0p982_b0p944	3175	2	3.27975	3.27904	+0.000710
expann_b0p982_b0p944	3175	3	3.28024	3.27973	+0.000510
expann_b0p982_b0p944	3180	0	3.27872	3.27817	+0.000550
expann_b0p982_b0p944	3180	1	3.27886	3.27804	+0.000820
expann_b0p982_b0p944	3180	2	3.27939	3.27867	+0.000720
expann_b0p982_b0p944	3180	3	3.27985	3.27934	+0.000510
expann_b0p982_b0p944	3190	0	3.27786	3.27743	+0.000430
expann_b0p982_b0p944	3190	1	3.27800	3.27730	+0.000700
expann_b0p982_b0p944	3190	2	3.27852	3.27796	+0.000560
expann_b0p982_b0p944	3190	3	3.27900	3.27858	+0.000420
expann_b0p982_b0p944	3200	0	3.27713	3.27678	+0.000350
expann_b0p982_b0p944	3200	1	3.27727	3.27666	+0.000610
expann_b0p982_b0p944	3200	2	3.27781	3.27729	+0.000520
expann_b0p982_b0p944	3200	3	3.27828	3.27790	+0.000380
expann_b0p982_b0p944	3210	0	3.27651	3.27623	+0.000280
expann_b0p982_b0p944	3210	1	3.27664	3.27612	+0.000520
expann_b0p982_b0p944	3210	2	3.27719	3.27672	+0.000470
expann_b0p982_b0p944	3210	3	3.27766	3.27731	+0.000350
expann_b0p982_b0p944	3220	0	3.27595	3.27571	+0.000240
expann_b0p982_b0p944	3220	1	3.27606	3.27555	+0.000510
expann_b0p982_b0p944	3220	2	3.27662	3.27619	+0.000430
expann_b0p982_b0p944	3220	3	3.27707	3.27677	+0.000300
expann_b0p982_b0p944	3225	0	3.27572	3.27550	+0.000220
expann_b0p982_b0p944	3225	1	3.27584	3.27535	+0.000490
expann_b0p982_b0p944	3225	2	3.27641	3.27597	+0.000440
expann_b0p982_b0p944	3225	3	3.27685	3.27656	+0.000290
expann_b0p982_b0p944	3230	0	3.27555	3.27535	+0.000200
expann_b0p982_b0p944	3230	1	3.27568	3.27520	+0.000480
expann_b0p982_b0p944	3230	2	3.27624	3.27583	+0.000410
expann_b0p982_b0p944	3230	3	3.27670	3.27641	+0.000290
expann_b0p982_b0p944	3240	0	3.27525	3.27509	+0.000160
expann_b0p982_b0p944	3240	1	3.27537	3.27493	+0.000440
expann_b0p982_b0p944	3240	2	3.27593	3.27556	+0.000370
expann_b0p982_b0p944	3240	3	3.27638	3.27613	+0.000250
expann_b0p982_b0p944	3250	0	3.27511	3.27497	+0.000140
expann_b0p982_b0p944	3250	1	3.27524	3.27482	+0.000420
expann_b0p982_b0p944	3250	2	3.27579	3.27544	+0.000350
expann_b0p982_b0p944	3250	3	3.27625	3.27602	+0.000230
plann_pr357_kernel_control	0	0	3.64974	3.64974	+0.000000
plann_pr357_kernel_control	0	1	3.65102	3.65102	+0.000000
plann_pr357_kernel_control	0	2	3.65366	3.65366	+0.000000
plann_pr357_kernel_control	0	3	3.65225	3.65225	+0.000000
plann_pr357_kernel_control	1125	0	3.60197	3.64759	-0.045620
plann_pr357_kernel_control	1125	1	3.60103	3.64786	-0.046830
plann_pr357_kernel_control	1125	2	3.60412	3.64865	-0.044530
plann_pr357_kernel_control	1125	3	3.60093	3.64815	-0.047220
plann_pr357_kernel_control	1250	0	3.57055	3.59585	-0.025300
plann_pr357_kernel_control	1250	1	3.57031	3.59566	-0.025350
plann_pr357_kernel_control	1250	2	3.57241	3.59777	-0.025360
plann_pr357_kernel_control	1250	3	3.57068	3.59840	-0.027720
plann_pr357_kernel_control	1375	0	3.54693	3.56193	-0.015000
plann_pr357_kernel_control	1375	1	3.54627	3.55986	-0.013590
plann_pr357_kernel_control	1375	2	3.54694	3.56165	-0.014710
plann_pr357_kernel_control	1375	3	3.54808	3.56446	-0.016380
plann_pr357_kernel_control	1500	0	3.52295	3.52867	-0.005720
plann_pr357_kernel_control	1500	1	3.52388	3.52651	-0.002630
plann_pr357_kernel_control	1500	2	3.52141	3.52916	-0.007750
plann_pr357_kernel_control	1500	3	3.52218	3.52850	-0.006320
plann_pr357_kernel_control	1625	0	3.50370	3.50370	+0.000000
plann_pr357_kernel_control	1625	1	3.50094	3.50243	-0.001490
plann_pr357_kernel_control	1625	2	3.50347	3.50438	-0.000910
plann_pr357_kernel_control	1625	3	3.50417	3.50360	+0.000570
plann_pr357_kernel_control	1750	0	3.48274	3.47990	+0.002840
plann_pr357_kernel_control	1750	1	3.48137	3.47831	+0.003060
plann_pr357_kernel_control	1750	2	3.48196	3.47907	+0.002890
plann_pr357_kernel_control	1750	3	3.48299	3.48027	+0.002720
plann_pr357_kernel_control	1875	0	3.46179	3.45786	+0.003930
plann_pr357_kernel_control	1875	1	3.46211	3.45613	+0.005980
plann_pr357_kernel_control	1875	2	3.46269	3.45703	+0.005660
plann_pr357_kernel_control	1875	3	3.46415	3.45881	+0.005340
plann_pr357_kernel_control	2000	0	3.44234	3.43643	+0.005910
