### STEP LINES ###
step 66 | loss -0.0209 | teacher-student gap -0.0805 | adv_clip 5.1% | ratio_clip lo 4.5% hi 1.6% | staleness 0.98 (max 2) | grad 1.416 | lr 1.00e-06 | tokens 2379 | hint_drop 185.9% | sandbox_fail 0 | empty_eps 0
step 67 | loss -0.0537 | teacher-student gap -0.1182 | adv_clip 10.1% | ratio_clip lo 1.9% hi 0.7% | staleness 0.98 (max 2) | grad 1.848 | lr 1.00e-06 | tokens 1358 | hint_drop 187.5% | sandbox_fail 0 | empty_eps 0
step 68 | loss -0.0144 | teacher-student gap -0.0725 | adv_clip 3.8% | ratio_clip lo 7.1% hi 3.5% | staleness 0.98 (max 2) | grad 1.532 | lr 1.00e-06 | tokens 1624 | hint_drop 188.2% | sandbox_fail 0 | empty_eps 0
step 69 | loss -0.0230 | teacher-student gap -0.1725 | adv_clip 12.0% | ratio_clip lo 0.0% hi 0.0% | staleness 0.98 (max 2) | grad 1.944 | lr 1.00e-06 | tokens 872 | hint_drop 189.1% | sandbox_fail 0 | empty_eps 0
step 70 | loss -0.0354 | teacher-student gap -0.1244 | adv_clip 7.4% | ratio_clip lo 3.4% hi 1.0% | staleness 0.97 (max 2) | grad 1.689 | lr 1.00e-06 | tokens 1193 | hint_drop 190.1% | sandbox_fail 0 | empty_eps 0
step 71 | loss -0.0114 | teacher-student gap -0.0872 | adv_clip 5.4% | ratio_clip lo 0.1% hi 0.0% | staleness 0.97 (max 2) | grad 1.548 | lr 1.00e-06 | tokens 1241 | hint_drop 189.5% | sandbox_fail 0 | empty_eps 0
step 72 | loss 0.0107 | teacher-student gap -0.0728 | adv_clip 6.7% | ratio_clip lo 2.2% hi 1.1% | staleness 0.97 (max 2) | grad 1.600 | lr 1.00e-06 | tokens 1481 | hint_drop 189.9% | sandbox_fail 0 | empty_eps 0
step 73 | loss -0.0310 | teacher-student gap -0.1126 | adv_clip 6.4% | ratio_clip lo 1.5% hi 0.4% | staleness 0.97 (max 2) | grad 1.664 | lr 1.00e-06 | tokens 1138 | hint_drop 190.2% | sandbox_fail 0 | empty_eps 0
step 74 | loss -0.0203 | teacher-student gap -0.0935 | adv_clip 4.3% | ratio_clip lo 3.2% hi 1.2% | staleness 0.97 (max 2) | grad 1.483 | lr 1.00e-06 | tokens 1414 | hint_drop 190.7% | sandbox_fail 0 | empty_eps 0
step 75 | loss -0.0154 | teacher-student gap -0.0541 | adv_clip 2.2% | ratio_clip lo 8.1% hi 2.6% | staleness 0.97 (max 2) | grad 1.106 | lr 1.00e-06 | tokens 1829 | hint_drop 190.2% | sandbox_fail 0 | empty_eps 0
step 76 | loss -0.0162 | teacher-student gap -0.0465 | adv_clip 3.7% | ratio_clip lo 5.6% hi 1.8% | staleness 0.97 (max 2) | grad 1.676 | lr 1.00e-06 | tokens 2186 | hint_drop 190.1% | sandbox_fail 0 | empty_eps 0
step 77 | loss -0.0521 | teacher-student gap -0.1358 | adv_clip 11.9% | ratio_clip lo 10.2% hi 2.2% | staleness 0.97 (max 2) | grad 1.790 | lr 1.00e-06 | tokens 864 | hint_drop 192.1% | sandbox_fail 0 | empty_eps 0
step 78 | loss -0.0598 | teacher-student gap -0.1590 | adv_clip 12.3% | ratio_clip lo 0.0% hi 0.0% | staleness 0.97 (max 2) | grad 2.465 | lr 1.00e-06 | tokens 793 | hint_drop 192.2% | sandbox_fail 0 | empty_eps 0
step 79 | loss -0.0334 | teacher-student gap -0.0625 | adv_clip 4.5% | ratio_clip lo 4.3% hi 2.1% | staleness 0.97 (max 2) | grad 1.214 | lr 1.00e-06 | tokens 2700 | hint_drop 192.5% | sandbox_fail 0 | empty_eps 0
step 80 | loss -0.0329 | teacher-student gap -0.1207 | adv_clip 8.9% | ratio_clip lo 0.0% hi 0.0% | staleness 0.96 (max 2) | grad 1.675 | lr 1.00e-06 | tokens 1086 | hint_drop 192.3% | sandbox_fail 0 | empty_eps 0
step 81 | loss -0.0483 | teacher-student gap -0.1409 | adv_clip 5.7% | ratio_clip lo 7.7% hi 2.3% | staleness 0.97 (max 2) | grad 2.000 | lr 1.00e-06 | tokens 1445 | hint_drop 193.1% | sandbox_fail 0 | empty_eps 0
step 82 | loss -0.0131 | teacher-student gap -0.0794 | adv_clip 6.0% | ratio_clip lo 6.9% hi 2.1% | staleness 0.96 (max 2) | grad 1.253 | lr 1.00e-06 | tokens 1518 | hint_drop 193.5% | sandbox_fail 0 | empty_eps 0
step 83 | loss -0.0352 | teacher-student gap -0.0893 | adv_clip 6.0% | ratio_clip lo 6.0% hi 2.0% | staleness 0.96 (max 2) | grad 1.701 | lr 1.00e-06 | tokens 1906 | hint_drop 196.0% | sandbox_fail 0 | empty_eps 0
step 84 | loss 0.0010 | teacher-student gap -0.0385 | adv_clip 2.4% | ratio_clip lo 3.1% hi 0.8% | staleness 0.96 (max 2) | grad 1.508 | lr 1.00e-06 | tokens 3039 | hint_drop 196.1% | sandbox_fail 0 | empty_eps 0
step 85 | loss -0.0508 | teacher-student gap -0.0533 | adv_clip 5.9% | ratio_clip lo 3.7% hi 1.0% | staleness 0.95 (max 2) | grad 1.512 | lr 1.00e-06 | tokens 2324 | hint_drop 199.1% | sandbox_fail 0 | empty_eps 0
step 86 | loss -0.0222 | teacher-student gap -0.0711 | adv_clip 3.7% | ratio_clip lo 7.0% hi 1.5% | staleness 0.95 (max 2) | grad 1.349 | lr 1.00e-06 | tokens 1384 | hint_drop 198.8% | sandbox_fail 0 | empty_eps 0
step 87 | loss -0.0371 | teacher-student gap -0.0902 | adv_clip 5.2% | ratio_clip lo 7.0% hi 2.2% | staleness 0.95 (max 2) | grad 1.299 | lr 1.00e-06 | tokens 1318 | hint_drop 200.7% | sandbox_fail 0 | empty_eps 0
step 88 | loss -0.0303 | teacher-student gap -0.0961 | adv_clip 6.7% | ratio_clip lo 7.8% hi 2.1% | staleness 0.95 (max 2) | grad 1.547 | lr 1.00e-06 | tokens 2211 | hint_drop 200.4% | sandbox_fail 0 | empty_eps 0
step 89 | loss 0.0084 | teacher-student gap -0.0897 | adv_clip 6.8% | ratio_clip lo 6.4% hi 1.8% | staleness 0.95 (max 2) | grad 1.529 | lr 1.00e-06 | tokens 1260 | hint_drop 201.8% | sandbox_fail 0 | empty_eps 0
step 90 | loss -0.0479 | teacher-student gap -0.0919 | adv_clip 8.9% | ratio_clip lo 4.4% hi 0.9% | staleness 0.95 (max 2) | grad 1.478 | lr 1.00e-06 | tokens 1197 | hint_drop 201.9% | sandbox_fail 0 | empty_eps 0
step 91 | loss -0.0050 | teacher-student gap -0.0977 | adv_clip 6.5% | ratio_clip lo 6.6% hi 2.9% | staleness 0.94 (max 2) | grad 1.302 | lr 1.00e-06 | tokens 1218 | hint_drop 203.6% | sandbox_fail 0 | empty_eps 0
