fork	assignment	step	name	weight_frob
1500	0	2000	blocks.4.attn.q.weight	48.72895050048828
1500	0	2000	blocks.4.attn.k.weight	55.38294219970703
1500	0	2000	blocks.4.attn.v.weight	53.04732131958008
1500	0	2000	blocks.4.attn.proj.weight	70.09324645996094
1500	0	2000	blocks.4.mlp.fc.weight	128.9663543701172
1500	0	2000	blocks.4.mlp.proj.weight	82.0311508178711
1500	0	2000	blocks.5.attn.q.weight	68.89497375488281
1500	0	2000	blocks.5.attn.k.weight	47.807579040527344
1500	0	2000	blocks.5.attn.v.weight	74.40699768066406
1500	0	2000	blocks.5.attn.proj.weight	49.492313385009766
1500	0	2000	blocks.5.mlp.fc.weight	162.5581817626953
1500	0	2000	blocks.5.mlp.proj.weight	57.93262481689453
1500	0	2000	blocks.6.attn.q.weight	52.58929443359375
1500	0	2000	blocks.6.attn.k.weight	68.7817153930664
1500	0	2000	blocks.6.attn.v.weight	64.28626251220703
1500	0	2000	blocks.6.attn.proj.weight	59.149784088134766
1500	0	2000	blocks.6.mlp.fc.weight	129.49374389648438
1500	0	2000	blocks.6.mlp.proj.weight	58.48262023925781
1500	0	2000	blocks.7.attn.q.weight	55.168975830078125
1500	0	2000	blocks.7.attn.k.weight	49.0544548034668
1500	0	2000	blocks.7.attn.v.weight	63.07574462890625
1500	0	2000	blocks.7.attn.proj.weight	72.53739166259766
1500	0	2000	blocks.7.mlp.fc.weight	129.77696228027344
1500	0	2000	blocks.7.mlp.proj.weight	83.36646270751953
1500	0	2000	blocks.8.attn.q.weight	48.01781463623047
1500	0	2000	blocks.8.attn.k.weight	69.68451690673828
1500	0	2000	blocks.8.attn.v.weight	79.66736602783203
1500	0	2000	blocks.8.attn.proj.weight	58.54532241821289
1500	0	2000	blocks.8.mlp.fc.weight	163.36109924316406
1500	0	2000	blocks.8.mlp.proj.weight	66.64710235595703
1500	0	2000	blocks.9.attn.q.weight	68.16472625732422
1500	0	2000	blocks.9.attn.k.weight	54.06458282470703
1500	0	2000	blocks.9.attn.v.weight	69.15062713623047
1500	0	2000	blocks.9.attn.proj.weight	68.59723663330078
1500	0	2000	blocks.9.mlp.fc.weight	162.57769775390625
1500	0	2000	blocks.9.mlp.proj.weight	60.228363037109375
1500	0	2000	blocks.10.attn.q.weight	69.24271392822266
1500	0	2000	blocks.10.attn.k.weight	53.803009033203125
1500	0	2000	blocks.10.attn.v.weight	84.64730834960938
1500	0	2000	blocks.10.attn.proj.weight	57.08297348022461
1500	0	2000	blocks.10.mlp.fc.weight	116.66743469238281
1500	0	2000	blocks.10.mlp.proj.weight	60.912742614746094
1500	0	2000	blocks.11.attn.q.weight	47.37874221801758
1500	0	2000	blocks.11.attn.k.weight	68.62850952148438
1500	0	2000	blocks.11.attn.v.weight	72.68977355957031
1500	0	2000	blocks.11.attn.proj.weight	65.35784912109375
1500	0	2000	blocks.11.mlp.fc.weight	159.43563842773438
1500	0	2000	blocks.11.mlp.proj.weight	68.18810272216797
1500	0	2125	blocks.0.attn.q.weight	57.24763870239258
1500	0	2125	blocks.0.attn.k.weight	56.31006622314453
1500	0	2125	blocks.0.attn.v.weight	57.69527816772461
1500	0	2125	blocks.0.attn.proj.weight	46.90646743774414
1500	0	2125	blocks.0.mlp.fc.weight	119.72650146484375
1500	0	2125	blocks.0.mlp.proj.weight	78.06932830810547
